perm_id,name,ticker,jc_industry_perm_id,industry_name,ranked_in_2021,ranked_in_2020,ranked_in_2019,ranked_in_2018
22fe2896958e3fb3cdc220f87,Principal Financial Group Inc,PFG,eaff1bdf24fcffe0e14e29a1bff51a12,Insurance,1,1,1,1
afdf2c5d97d8dcf0551007fca,Proofpoint Inc,PFPT,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,0
ee06012a4701cc4b0d274400e,The Procter & Gamble Company,PG,b5a874f85f2aea08ebd2fa66376cb0e7,Personal Products,1,1,1,1
39d7cfa6140a5abd661ac80d1,The Progressive Corporation,PGR,eaff1bdf24fcffe0e14e29a1bff51a12,Insurance,1,1,1,1
b07f0a82af20da4077cf17018,Parker Hannifin Corp,PH,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,1
97ef9265eabb1bcaf996c0f32,"PulteGroup, Inc.",PHM,6ccd87c01fb82eac743307c8dd219fd3,Household Goods & Apparel,1,1,1,1
861bdc1109cd48bfdb730056b,Polaris Industries Inc.,PII,6ccd87c01fb82eac743307c8dd219fd3,Household Goods & Apparel,1,1,1,1
1a19ba73d45caea5ef3a45aa1,Premier Inc,PINC,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,1
a081c8d47632b072688919ead,Pinterest,PINS,c8205c7636e728d448c2774e6a4a944b,Internet,1,0,0,0
086d099ed74047b2115c823af,Park Hotels & Resorts Inc.,PK,d84514acf6dd2dbbac51a77bd394e0ac,Real Estate,1,1,0,0
8bd0dc4570bc8124e2f7484af,Packaging Corporation of America,PKG,7ac110e84d23204aa63c248a732f2179,Building Materials & Packaging,1,1,1,1
00aa86290f0973a72bca4ef3b,PerkinElmer Inc,PKI,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,1
b06b26dbfd6a0a761176de463,"Anaplan, Inc.",PLAN,c8205c7636e728d448c2774e6a4a944b,Internet,1,1,0,0
50f9fd9d1fabf80784e5a3a91,ProLogis Inc,PLD,d84514acf6dd2dbbac51a77bd394e0ac,Real Estate,1,1,1,0
c5432bd9cfedba763e5df81da,"Planet Fitness, Inc.",PLNT,f7191f4efa57134e0e3c349a0d36eec3,Restaurants & Leisure,1,1,0,0
db42140b0acfda0ad70c1ee39,Philip Morris International,PM,e3f4aafdc8b3562a52a4f6bbaa217e69,"Food, Beverage & Tobacco",0,0,0,1
c8f1629700e96b89673b84eaf,PNC Financial Services Group Inc,PNC,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
0d20bc89bf47d14b1aa88bab6,Pinnacle Financial Partners Inc,PNFP,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
612c36a5d64496d273e2a93dc,Pentair Plc,PNR,257a8d97f966fedd03cf5d7f558f68e2,Commercial Vehicles & Machinery,1,1,1,1
